userid,jobid,windowid,label,prediction,user_state,job_state,degree,yearsexp
113604,476004,4,1.0,1.0,DE,PA,None,0.0
115295,918418,1,0.0,1.0,CA,CA,Master's,16.0
117370,495150,7,1.0,1.0,CA,CA,Bachelor's,16.0
121225,491009,5,1.0,0.0,IN,IL,Associate's,16.0
129484,638422,7,0.0,0.0,CA,NC,Bachelor's,20.0
132136,542143,7,1.0,0.0,AZ,TX,Bachelor's,9.0
134943,845007,2,1.0,1.0,IL,IL,High School,17.0
144685,515692,4,0.0,0.0,FL,CA,High School,7.0
146559,97,2,1.0,1.0,FL,FL,Vocational,13.0
147478,1104983,6,1.0,1.0,MD,MD,Bachelor's,11.0
147716,39109,5,1.0,0.0,TX,FL,Associate's,0.0
150409,283347,2,1.0,0.0,NC,NY,None,8.0
151447,480802,4,1.0,1.0,TX,TX,High School,13.0
151447,106338,4,1.0,1.0,TX,TX,High School,13.0
153011,200288,1,1.0,1.0,NY,NY,None,0.0
153011,775048,1,1.0,1.0,NY,NY,None,0.0
154022,26121,3,0.0,1.0,NJ,NC,Bachelor's,15.0
154437,386695,2,1.0,0.0,NJ,NY,High School,22.0
157253,638812,7,1.0,1.0,IL,IL,Bachelor's,8.0
158773,973943,1,1.0,1.0,GA,GA,Master's,7.0
164313,180708,5,1.0,1.0,CA,CA,Associate's,11.0
164313,384185,5,1.0,1.0,CA,CA,Associate's,11.0
164313,926770,5,1.0,1.0,CA,CA,Associate's,11.0
167520,498862,1,1.0,1.0,GA,GA,Bachelor's,8.0
167520,161481,1,0.0,0.0,GA,CA,Bachelor's,8.0
167598,997250,2,1.0,1.0,TX,TX,Associate's,10.0
167598,546505,2,1.0,1.0,TX,TX,Associate's,10.0
167598,780186,2,1.0,1.0,TX,TX,Associate's,10.0
167598,440187,2,1.0,1.0,TX,TX,Associate's,10.0
167598,1047069,2,1.0,1.0,TX,TX,Associate's,10.0
167881,300605,3,1.0,1.0,FL,FL,Bachelor's,5.0
167881,324249,3,1.0,1.0,FL,FL,Bachelor's,5.0
174104,832096,1,0.0,0.0,AZ,PA,Bachelor's,13.0
178605,578427,3,1.0,1.0,IL,IL,Bachelor's,6.0
179836,762224,5,0.0,0.0,IL,IN,Bachelor's,6.0
180813,108856,1,0.0,0.0,IL,LA,Associate's,8.0
181401,913671,1,0.0,0.0,MI,OH,Bachelor's,14.0
183465,154689,6,1.0,1.0,FL,FL,Bachelor's,20.0
183465,1089446,6,1.0,0.0,FL,MD,Bachelor's,20.0
183465,498896,6,1.0,0.0,FL,NJ,Bachelor's,20.0
185436,512601,4,1.0,1.0,MO,MO,Associate's,25.0
185436,861620,4,1.0,1.0,MO,MO,Associate's,25.0
190823,585542,4,1.0,1.0,LA,LA,None,0.0
190823,579527,4,1.0,1.0,LA,LA,None,0.0
191458,481513,1,0.0,0.0,MS,CA,High School,10.0
191851,865261,5,1.0,1.0,PA,PA,Master's,8.0
192428,352603,1,0.0,0.0,IL,CT,Bachelor's,4.0
192428,889499,1,1.0,1.0,IL,IL,Bachelor's,4.0
192461,764755,1,1.0,1.0,TX,TX,High School,18.0
192521,761761,5,1.0,1.0,NY,NJ,Master's,24.0
193403,1057609,3,1.0,1.0,NC,NC,High School,19.0
194595,336606,4,1.0,1.0,CA,CA,None,16.0
194595,516236,4,1.0,1.0,CA,CA,None,16.0
194762,84787,7,1.0,1.0,CT,CT,Master's,10.0
196026,516413,4,1.0,1.0,TX,TX,Bachelor's,12.0
198695,699114,1,1.0,0.0,GA,AL,None,18.0
198695,789486,1,1.0,1.0,GA,GA,None,18.0
202145,762333,3,1.0,1.0,AZ,AZ,High School,11.0
202925,757626,1,1.0,1.0,NY,NY,None,10.0
203251,1037329,7,1.0,0.0,NJ,OH,Master's,41.0
203251,63765,7,1.0,0.0,NJ,PA,Master's,41.0
208664,307184,3,1.0,1.0,TX,TX,None,2.0
208664,391560,3,1.0,1.0,TX,TX,None,2.0
208664,571574,3,1.0,1.0,TX,TX,None,2.0
208664,546527,3,1.0,1.0,TX,TX,None,2.0
208664,1003828,3,1.0,1.0,TX,TX,None,2.0
208664,577997,3,1.0,1.0,TX,TX,None,2.0
208664,510481,3,1.0,1.0,TX,TX,None,2.0
210122,771473,3,1.0,1.0,NJ,NY,Bachelor's,10.0
210233,625831,2,1.0,1.0,IN,IN,High School,7.0
210233,699612,2,1.0,1.0,IN,IN,High School,7.0
210233,608564,2,1.0,1.0,IN,IN,High School,7.0
210386,930674,1,1.0,1.0,MO,KS,None,2.0
210855,816257,4,1.0,1.0,FL,FL,High School,6.0
214885,780129,2,1.0,0.0,MO,MN,None,11.0
216308,2006,5,1.0,1.0,NY,NY,Associate's,16.0
217065,928317,5,1.0,0.0,LA,FL,High School,3.0
218198,721875,2,0.0,0.0,FL,TX,Associate's,9.0
220090,233946,7,1.0,1.0,NY,NY,None,10.0
220187,95846,4,1.0,1.0,MO,MO,High School,5.0
220635,401347,2,0.0,0.0,MI,OH,High School,2.0
222412,406104,1,1.0,0.0,CT,NY,Bachelor's,112.0
222412,512622,1,1.0,0.0,CT,NY,Bachelor's,112.0
222412,666717,1,1.0,1.0,CT,CT,Bachelor's,112.0
225786,985386,1,0.0,0.0,OH,AZ,High School,2.0
226956,493174,2,1.0,1.0,MI,MI,Associate's,6.0
226956,948929,2,1.0,1.0,MI,MI,Associate's,6.0
228409,278041,3,1.0,1.0,VA,VA,Bachelor's,2.0
228409,151567,3,1.0,1.0,VA,MD,Bachelor's,2.0
228896,1041972,4,0.0,0.0,FL,CT,None,8.0
230592,272909,4,1.0,1.0,OH,OH,None,3.0
231093,19709,1,1.0,1.0,CA,CA,High School,2.0
231093,739393,1,1.0,1.0,CA,CA,High School,2.0
236723,498804,2,1.0,1.0,SC,SC,Associate's,3.0
239495,838688,7,1.0,1.0,CT,CT,Bachelor's,24.0
241445,543686,1,1.0,1.0,TX,TX,Bachelor's,8.0
246284,130364,1,1.0,1.0,TX,TX,None,2.0
255119,162262,4,1.0,1.0,TN,TN,Master's,7.0
255415,1044275,3,0.0,0.0,IL,CA,Master's,7.0
255572,220815,4,1.0,1.0,FL,FL,High School,12.0
265805,190774,4,1.0,1.0,OH,OH,High School,14.0
268777,217664,1,1.0,0.0,NC,SC,Associate's,4.0
268777,517606,1,1.0,1.0,NC,NC,Associate's,4.0
268777,496109,1,1.0,1.0,NC,NC,Associate's,4.0
268777,642620,1,1.0,1.0,NC,NC,Associate's,4.0
270445,857332,6,1.0,1.0,TX,TX,Associate's,4.0
277855,353757,5,1.0,1.0,NC,NC,High School,29.0
281965,1026738,3,0.0,0.0,WI,TX,High School,5.0
283958,336124,2,1.0,1.0,NC,SC,Bachelor's,3.0
286187,601189,1,1.0,1.0,CT,CT,None,8.0
286187,601214,1,1.0,1.0,CT,CT,None,8.0
294566,958178,4,0.0,0.0,MD,VA,Associate's,13.0
294566,1049129,4,1.0,1.0,MD,MD,Associate's,13.0
294566,599484,4,1.0,1.0,MD,MD,Associate's,13.0
299784,13141,1,1.0,0.0,MO,AL,Bachelor's,7.0
301025,786212,5,0.0,0.0,TN,NY,High School,6.0
309563,863714,5,1.0,1.0,IA,IA,Bachelor's,9.0
312884,460484,1,1.0,1.0,KY,KY,Associate's,9.0
317008,722802,3,1.0,0.0,MO,AZ,None,0.0
317156,925592,5,0.0,0.0,AL,AR,None,1.0
320246,23443,5,1.0,1.0,IL,IL,Bachelor's,6.0
321538,649942,3,1.0,1.0,MI,MI,High School,2.0
324489,581195,1,1.0,1.0,NY,NY,Master's,4.0
325908,565974,1,1.0,1.0,TX,TX,None,4.0
325908,775023,1,1.0,1.0,TX,TX,None,4.0
325961,1070149,2,1.0,1.0,TX,TX,Bachelor's,13.0
328626,136410,4,0.0,0.0,OH,OK,None,1.0
334893,486353,3,0.0,0.0,OH,CA,None,10.0
338112,82220,6,1.0,1.0,PA,PA,High School,7.0
338112,601135,6,1.0,1.0,PA,PA,High School,7.0
338112,326263,6,1.0,0.0,PA,NJ,High School,7.0
338112,28180,6,1.0,1.0,PA,NJ,High School,7.0
340256,309898,5,0.0,0.0,TX,AZ,Bachelor's,22.0
341913,850821,2,1.0,0.0,NY,AL,High School,7.0
345151,636520,1,1.0,1.0,FL,FL,Associate's,9.0
345151,600528,1,1.0,1.0,FL,FL,Associate's,9.0
346386,2224,3,1.0,1.0,CA,CA,High School,31.0
351613,928490,2,0.0,0.0,AZ,OH,High School,21.0
355493,313230,7,0.0,1.0,IN,DC,None,14.0
367853,335576,7,1.0,1.0,unknown,MD,Bachelor's,2.0
368337,932108,5,1.0,1.0,IL,IL,None,4.0
368938,1099311,5,1.0,1.0,CA,CA,Master's,7.0
368938,364292,5,1.0,1.0,CA,CA,Master's,7.0
372636,959588,6,1.0,1.0,TX,TX,High School,2.0
377725,315802,1,0.0,0.0,CA,NJ,Master's,23.0
382291,450026,7,1.0,1.0,GA,GA,Master's,11.0
387768,601021,1,1.0,1.0,IL,IL,High School,11.0
389088,874707,3,0.0,0.0,CA,MI,None,11.0
391874,1023742,2,1.0,1.0,DE,DE,High School,2.0
393605,168213,1,1.0,1.0,PA,PA,High School,4.0
394687,1107280,4,1.0,1.0,AZ,AZ,Bachelor's,4.0
394687,286140,4,1.0,1.0,AZ,AZ,Bachelor's,4.0
394687,906628,4,1.0,1.0,AZ,AZ,Bachelor's,4.0
395017,217255,1,1.0,1.0,NC,NC,High School,12.0
395017,234391,1,1.0,1.0,NC,NC,High School,12.0
395017,801571,1,1.0,1.0,NC,NC,High School,12.0
396210,899472,6,1.0,1.0,NJ,NJ,Master's,4.0
402249,829735,3,0.0,0.0,GA,NC,Master's,13.0
405390,208375,2,1.0,1.0,OH,OH,Bachelor's,16.0
405390,157945,2,1.0,1.0,OH,OH,Bachelor's,16.0
405390,35625,2,1.0,1.0,OH,OH,Bachelor's,16.0
411916,561636,4,1.0,1.0,MO,MO,High School,3.0
411916,825429,4,1.0,1.0,MO,MO,High School,3.0
412328,745898,2,0.0,0.0,IL,IA,None,9.0
418011,1053578,1,1.0,1.0,FL,FL,High School,20.0
419618,336730,5,1.0,1.0,GA,GA,Associate's,15.0
426531,1110359,3,0.0,0.0,KY,DC,High School,15.0
426531,697499,3,0.0,0.0,KY,WI,High School,15.0
427689,152028,6,1.0,1.0,NJ,NJ,Associate's,6.0
427689,444548,6,1.0,0.0,NJ,NY,Associate's,6.0
431054,425306,5,0.0,0.0,KY,FL,Associate's,8.0
435423,970182,6,0.0,0.0,CA,WI,Bachelor's,8.0
435607,298760,6,1.0,1.0,TX,TX,None,8.0
435607,900786,6,1.0,0.0,TX,FL,None,8.0
439930,240529,2,0.0,0.0,FL,TX,Bachelor's,2.0
450810,451345,2,0.0,1.0,TX,TX,None,8.0
451375,689142,2,0.0,0.0,IL,TX,High School,0.0
454411,964440,3,0.0,1.0,DE,NJ,Bachelor's,3.0
467696,571251,6,1.0,0.0,NJ,PA,High School,0.0
470477,643788,6,0.0,0.0,IL,MN,Associate's,24.0
471322,811946,3,1.0,0.0,IN,IL,Associate's,11.0
476500,940866,1,1.0,1.0,CO,CO,None,10.0
479293,167951,5,1.0,0.0,MD,VA,None,12.0
479293,1016507,5,1.0,1.0,MD,MD,None,12.0
479293,603380,5,1.0,1.0,MD,MD,None,12.0
479646,582584,1,1.0,1.0,AZ,AZ,Vocational,16.0
479646,624520,1,0.0,0.0,AZ,TX,Vocational,16.0
481678,77020,2,0.0,0.0,FL,IL,Bachelor's,21.0
487570,881009,1,0.0,0.0,CO,TN,High School,9.0
487570,45837,1,1.0,1.0,CO,CO,High School,9.0
492924,394534,1,1.0,1.0,IL,IL,None,0.0
495670,814848,5,1.0,1.0,DE,PA,None,4.0
503845,702069,2,0.0,0.0,PA,MA,Bachelor's,13.0
504265,702993,4,1.0,1.0,TX,TX,None,5.0
504741,521884,7,1.0,1.0,OH,OH,High School,5.0
511550,582137,4,1.0,0.0,SC,NC,High School,4.0
513192,835249,1,1.0,1.0,PA,DE,Bachelor's,22.0
513192,587996,1,1.0,1.0,PA,PA,Bachelor's,22.0
513192,873904,1,1.0,1.0,PA,PA,Bachelor's,22.0
513192,354546,1,1.0,1.0,PA,PA,Bachelor's,22.0
513192,400172,1,1.0,1.0,PA,PA,Bachelor's,22.0
513192,871205,1,1.0,1.0,PA,PA,Bachelor's,22.0
513192,1003404,1,1.0,1.0,PA,NJ,Bachelor's,22.0
513762,451657,1,0.0,0.0,CA,PA,None,11.0
513762,834133,1,0.0,0.0,CA,NC,None,11.0
516565,928897,2,1.0,1.0,TX,TX,Bachelor's,14.0
516565,811236,2,1.0,1.0,TX,TX,Bachelor's,14.0
518851,373952,5,1.0,0.0,PA,NJ,None,7.0
532411,575480,6,0.0,0.0,TX,TX,High School,23.0
535604,853534,4,1.0,1.0,TX,TX,None,21.0
541320,1013235,5,1.0,1.0,KS,KS,Master's,10.0
541320,400467,5,0.0,0.0,KS,TX,Master's,10.0
553022,269788,1,1.0,1.0,FL,FL,High School,6.0
553022,24461,1,1.0,1.0,FL,FL,High School,6.0
553111,286482,4,0.0,0.0,PA,MD,Master's,5.0
553793,44922,6,1.0,1.0,TX,TX,Master's,6.0
553793,844954,6,1.0,1.0,TX,TX,Master's,6.0
553793,883372,6,1.0,1.0,TX,TX,Master's,6.0
556731,601941,1,1.0,1.0,NY,NY,None,14.0
556731,328596,1,1.0,1.0,NY,NY,None,14.0
561617,744363,2,1.0,0.0,NY,PA,Bachelor's,9.0
566043,779449,7,1.0,1.0,MO,MO,None,10.0
573720,403831,2,1.0,1.0,TX,TX,Bachelor's,8.0
575835,336468,3,1.0,1.0,FL,FL,Associate's,7.0
582692,214329,7,1.0,1.0,TX,TX,High School,10.0
582692,997577,7,1.0,1.0,TX,TX,High School,10.0
583412,377336,2,1.0,1.0,IL,IL,Associate's,6.0
589337,200822,4,1.0,0.0,CO,NC,Master's,10.0
591985,480955,3,1.0,1.0,WA,WA,Bachelor's,12.0
600407,148904,6,1.0,1.0,VA,VA,Master's,5.0
601757,752665,4,1.0,1.0,CT,CT,Master's,7.0
604092,1027189,4,1.0,1.0,NY,NY,None,11.0
608036,1042959,4,1.0,1.0,DE,DE,None,3.0
608107,590237,1,1.0,1.0,MI,MI,Master's,11.0
608107,281955,1,1.0,1.0,MI,MI,Master's,11.0
608107,252732,1,1.0,1.0,MI,MI,Master's,11.0
610663,1084859,1,1.0,1.0,IL,IL,Bachelor's,12.0
610663,600803,1,1.0,1.0,IL,IL,Bachelor's,12.0
610663,3248,1,1.0,1.0,IL,IL,Bachelor's,12.0
610663,1053873,1,1.0,1.0,IL,IL,Bachelor's,12.0
612298,307008,3,0.0,1.0,FL,KS,Bachelor's,10.0
612334,770544,1,1.0,1.0,WI,WI,High School,4.0
613141,1017706,4,1.0,0.0,IN,MI,None,26.0
615333,1030995,5,1.0,1.0,CA,CA,Bachelor's,5.0
615333,271703,5,1.0,1.0,CA,CA,Bachelor's,5.0
615333,975616,5,0.0,0.0,CA,KY,Bachelor's,5.0
615386,829900,2,0.0,0.0,TX,PA,High School,8.0
621173,119797,2,0.0,0.0,TX,CA,High School,27.0
630800,337878,5,0.0,0.0,NJ,TX,None,17.0
637112,1059338,1,1.0,1.0,FL,FL,None,5.0
642227,573299,3,1.0,1.0,GA,NC,None,12.0
643578,877391,3,1.0,1.0,IL,IL,None,11.0
651575,641315,7,0.0,0.0,IL,NY,High School,5.0
652941,875836,5,1.0,1.0,FL,FL,Associate's,13.0
652941,328329,5,1.0,1.0,FL,FL,Associate's,13.0
657809,855088,4,1.0,1.0,FL,FL,Bachelor's,7.0
658680,520049,5,1.0,1.0,MI,MI,None,8.0
661988,459173,4,0.0,0.0,IA,GA,Bachelor's,10.0
661988,1096870,4,1.0,1.0,IA,IA,Bachelor's,10.0
662639,1092780,7,0.0,0.0,LA,CA,Bachelor's,15.0
665250,40456,2,1.0,0.0,IL,NV,None,0.0
666093,849894,1,1.0,1.0,TX,TX,None,10.0
666093,554904,1,1.0,1.0,TX,TX,None,10.0
666093,1095371,1,1.0,1.0,TX,TX,None,10.0
666456,626211,2,0.0,1.0,NC,FL,Master's,3.0
670375,469817,1,1.0,1.0,NY,NY,Bachelor's,6.0
673475,261821,4,1.0,1.0,IA,IA,Bachelor's,17.0
673755,117054,2,0.0,0.0,CO,NJ,High School,4.0
680101,128880,6,0.0,0.0,GA,NJ,Associate's,2.0
680101,542850,6,1.0,1.0,GA,GA,Associate's,2.0
682585,810596,4,0.0,0.0,CA,PA,None,11.0
685099,175822,3,1.0,1.0,MD,VA,Bachelor's,5.0
686355,168705,7,1.0,1.0,CA,CA,High School,4.0
695389,174609,1,1.0,1.0,IL,IL,Bachelor's,12.0
695938,1028004,2,0.0,0.0,CA,OH,High School,26.0
695938,556622,2,1.0,1.0,CA,CA,High School,26.0
696202,4043,3,1.0,1.0,PA,PA,Bachelor's,9.0
696202,301033,3,1.0,1.0,PA,PA,Bachelor's,9.0
696202,1008550,3,1.0,0.0,PA,NH,Bachelor's,9.0
697861,270768,4,1.0,1.0,MD,MD,None,6.0
701886,915075,2,0.0,0.0,FL,CT,Associate's,6.0
704285,612088,2,1.0,1.0,NC,NC,None,22.0
704758,380018,5,1.0,1.0,NY,NY,Associate's,6.0
705194,909016,3,1.0,1.0,FL,FL,High School,7.0
705212,1112349,2,0.0,0.0,PA,NC,Associate's,15.0
705279,807530,5,1.0,1.0,NJ,NJ,PhD,20.0
705279,363259,5,1.0,1.0,NJ,NJ,PhD,20.0
705944,242775,1,1.0,1.0,CT,CT,Bachelor's,7.0
705944,35812,1,1.0,1.0,CT,CT,Bachelor's,7.0
705944,452877,1,1.0,1.0,CT,NY,Bachelor's,7.0
705944,15166,1,1.0,1.0,CT,CT,Bachelor's,7.0
705944,296007,1,1.0,1.0,CT,CT,Bachelor's,7.0
715406,638197,4,1.0,1.0,GA,GA,None,6.0
716148,284741,2,1.0,1.0,OR,OR,Bachelor's,20.0
717003,360200,1,0.0,0.0,IL,AZ,Bachelor's,22.0
718370,789900,1,1.0,1.0,AZ,AZ,Bachelor's,2.0
724117,109581,1,1.0,1.0,TX,TX,Bachelor's,6.0
724779,580262,3,1.0,1.0,GA,GA,None,24.0
727846,109286,2,0.0,0.0,WI,FL,High School,12.0
728722,688574,4,1.0,1.0,TX,TX,None,16.0
728722,130816,4,1.0,1.0,TX,TX,None,16.0
729342,525355,5,1.0,1.0,NJ,NJ,High School,6.0
738593,258752,7,1.0,0.0,NY,IL,Associate's,10.0
738593,521260,7,1.0,1.0,NY,NY,Associate's,10.0
741717,130818,5,1.0,1.0,TX,TX,Master's,12.0
741717,1091957,5,1.0,1.0,TX,TX,Master's,12.0
743102,799414,2,1.0,1.0,MD,MD,High School,9.0
744120,86320,2,0.0,0.0,FL,TX,Bachelor's,11.0
747023,811032,2,1.0,1.0,CA,CA,Bachelor's,9.0
747275,701568,5,1.0,0.0,MS,TX,Master's,5.0
748943,273081,1,1.0,1.0,IL,IL,Bachelor's,33.0
748943,451771,1,1.0,1.0,IL,IL,Bachelor's,33.0
748943,786,1,1.0,1.0,IL,IL,Bachelor's,33.0
748943,51541,1,1.0,1.0,IL,IL,Bachelor's,33.0
748943,775024,1,1.0,1.0,IL,IL,Bachelor's,33.0
749389,329475,1,1.0,1.0,IN,IN,Bachelor's,8.0
749389,640522,1,1.0,1.0,IN,IN,Bachelor's,8.0
749389,629575,1,1.0,1.0,IN,IN,Bachelor's,8.0
749855,658009,7,1.0,1.0,TX,TX,Bachelor's,32.0
751222,705668,7,0.0,0.0,MO,WI,High School,4.0
754958,518199,3,1.0,1.0,NC,NC,High School,3.0
755409,806581,4,1.0,0.0,NC,MD,None,112.0
755632,792168,4,1.0,1.0,IL,IL,High School,11.0
756815,1029153,2,1.0,1.0,FL,MD,Master's,27.0
756950,206646,1,1.0,1.0,NC,NC,High School,8.0
758432,267632,7,1.0,1.0,OH,OH,Bachelor's,32.0
758432,855233,7,1.0,0.0,OH,TN,Bachelor's,32.0
758871,653923,3,0.0,0.0,GA,NJ,None,7.0
759623,1013409,3,1.0,1.0,NV,NV,Bachelor's,32.0
767143,881958,2,1.0,1.0,FL,FL,None,11.0
770426,920362,3,1.0,1.0,OH,KY,Bachelor's,14.0
770689,485341,1,1.0,1.0,TX,TX,Bachelor's,14.0
772503,109062,1,1.0,1.0,IL,IL,None,30.0
772512,812476,5,0.0,0.0,IL,ID,Bachelor's,4.0
773513,657472,4,1.0,1.0,FL,FL,None,10.0
773533,755177,4,1.0,1.0,TX,TX,None,5.0
775575,388754,3,1.0,1.0,FL,FL,Master's,4.0
775722,508586,6,1.0,1.0,NJ,VA,Master's,13.0
777380,883724,4,0.0,0.0,MO,MI,Bachelor's,7.0
780592,1040002,2,0.0,1.0,IN,NC,High School,16.0
786605,381786,1,0.0,1.0,GA,GA,Master's,3.0
787228,366874,5,1.0,1.0,IN,IN,Associate's,8.0
787228,615641,5,1.0,1.0,IN,IN,Associate's,8.0
791671,583950,3,1.0,1.0,FL,FL,Bachelor's,13.0
791756,393593,1,0.0,0.0,DE,LA,None,23.0
791756,381432,1,1.0,1.0,DE,PA,None,23.0
791958,780758,5,1.0,1.0,TX,TX,Bachelor's,9.0
793011,576997,5,1.0,1.0,NC,NC,PhD,16.0
795282,801556,3,0.0,0.0,FL,MD,None,14.0
798106,49681,5,0.0,0.0,FL,CA,Associate's,4.0
801147,251782,1,1.0,1.0,NY,NY,Master's,30.0
804193,797636,1,1.0,1.0,IL,IL,Bachelor's,7.0
808869,206734,5,0.0,0.0,CA,NC,Master's,17.0
814579,1114898,1,1.0,1.0,CA,CA,None,13.0
814579,260298,1,1.0,1.0,CA,CA,None,13.0
815038,917534,3,1.0,1.0,FL,FL,Master's,21.0
816231,368997,1,1.0,1.0,AZ,AZ,Bachelor's,11.0
816613,519933,1,1.0,1.0,FL,FL,High School,9.0
816917,873064,5,1.0,1.0,IN,IN,None,18.0
823347,36648,1,1.0,1.0,CO,CO,None,10.0
823347,468919,1,1.0,1.0,CO,CO,None,10.0
823347,565843,1,0.0,0.0,CO,CT,None,10.0
823421,512435,1,1.0,1.0,FL,FL,Bachelor's,21.0
824133,32515,6,1.0,0.0,FL,GA,Master's,9.0
826911,979062,2,1.0,1.0,NY,NY,High School,8.0
830146,642987,4,1.0,1.0,IL,IL,High School,9.0
835707,867127,1,1.0,1.0,CA,CA,None,16.0
836758,473214,2,1.0,1.0,AZ,AZ,High School,8.0
840204,685736,2,0.0,0.0,IL,VA,None,6.0
840605,989955,3,1.0,1.0,FL,FL,High School,7.0
843888,1098382,1,1.0,1.0,AZ,AZ,None,7.0
844023,524905,5,1.0,1.0,NC,NC,Bachelor's,9.0
844878,485693,4,1.0,1.0,TX,TX,Associate's,10.0
847832,899139,4,1.0,0.0,MN,WI,Vocational,9.0
847838,299237,7,1.0,1.0,GA,GA,Master's,5.0
847838,168922,7,1.0,1.0,GA,GA,Master's,5.0
853456,34090,6,1.0,1.0,WA,WA,Bachelor's,9.0
855790,437814,5,1.0,1.0,NY,NJ,Associate's,4.0
864249,928489,2,1.0,1.0,IL,IL,Bachelor's,15.0
865126,778097,7,1.0,0.0,AZ,CO,None,7.0
867121,638926,1,1.0,1.0,FL,FL,Bachelor's,6.0
867121,253261,1,1.0,1.0,FL,FL,Bachelor's,6.0
867121,1070686,1,1.0,1.0,FL,FL,Bachelor's,6.0
867121,860848,1,1.0,1.0,FL,FL,Bachelor's,6.0
867360,890167,4,1.0,0.0,MN,WI,None,12.0
867360,286389,4,1.0,1.0,MN,MN,None,12.0
867517,986249,2,1.0,1.0,NV,NV,High School,8.0
867517,396882,2,0.0,0.0,NV,TN,High School,8.0
867543,882335,5,1.0,1.0,FL,FL,Bachelor's,39.0
868857,15709,1,0.0,0.0,NY,KY,Bachelor's,20.0
868936,178551,3,1.0,1.0,TX,TX,High School,30.0
871149,802901,1,1.0,1.0,TX,TX,Bachelor's,10.0
871149,777039,1,1.0,1.0,TX,TX,Bachelor's,10.0
871149,570094,1,1.0,1.0,TX,TX,Bachelor's,10.0
871149,250117,1,1.0,1.0,TX,TX,Bachelor's,10.0
871149,654220,1,1.0,1.0,TX,TX,Bachelor's,10.0
872291,277274,6,1.0,1.0,MA,MA,Bachelor's,9.0
872291,652627,6,1.0,1.0,MA,MA,Bachelor's,9.0
877477,1107294,1,1.0,1.0,GA,GA,None,9.0
877477,145170,1,1.0,1.0,GA,GA,None,9.0
877477,779460,1,1.0,1.0,GA,GA,None,9.0
877753,639483,1,1.0,1.0,TX,TX,Bachelor's,7.0
877753,808773,1,1.0,1.0,TX,TX,Bachelor's,7.0
877753,198346,1,1.0,1.0,TX,TX,Bachelor's,7.0
877753,437448,1,1.0,1.0,TX,TX,Bachelor's,7.0
883629,931694,2,0.0,0.0,LA,FL,Bachelor's,12.0
894946,997850,5,0.0,0.0,IL,NC,Bachelor's,7.0
900190,182159,1,1.0,1.0,TX,TX,Bachelor's,13.0
900910,324294,1,1.0,1.0,TX,TX,None,17.0
902905,631301,1,1.0,1.0,AZ,AZ,Vocational,9.0
903167,240472,5,1.0,1.0,NC,NC,Bachelor's,18.0
903167,518218,5,1.0,1.0,NC,NC,Bachelor's,18.0
905053,272127,5,1.0,1.0,FL,FL,High School,11.0
907516,382775,1,0.0,0.0,MI,MO,High School,2.0
907516,1020470,1,1.0,1.0,MI,MI,High School,2.0
913166,790730,5,0.0,0.0,GA,TX,None,9.0
913306,248270,4,1.0,1.0,NJ,NY,Bachelor's,10.0
913306,535689,4,0.0,0.0,NJ,TX,Bachelor's,10.0
915967,927708,1,1.0,1.0,IL,IL,Bachelor's,10.0
